Date,Day,Campaign Week,Feature Group,Weekly Lens,Phase,Funnel Goal,Feature / Theme,Angle,Format,Promotion,Channels,Audience,Hook,Core Message,CTA,Creative Brief,New Feature Highlight,Feature ID,Added On,Status,Owner,Asset / Draft Link
2026-10-19,Monday,Week 3,sales,Problem / pain point,Feature education,Conversion support,Customer orders and sales,Feature education,Story / poll,Organic,"Instagram Stories, Facebook Stories",sales teams and owners,Customer orders and sales: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Handle walk-in and customer orders while preserving fulfilment and payment state separately.,See how it works,"Use a real INPROFIC screen/demo for Customer orders and sales. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,sales,,Planned,,
2026-10-20,Tuesday,Week 3,sales,How it works,Feature education,Awareness,Customer and channel pricing,Feature education,Founder post,Organic,"LinkedIn, Facebook",wholesale and distribution businesses,Customer and channel pricing: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Resolve customer-specific pricing before channel pricing, then fall back to the product default.",See how it works,"Use a real INPROFIC screen/demo for Customer and channel pricing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,customer-pricing,,Planned,,
2026-10-21,Wednesday,Week 3,finance,Screen / workflow demo,Feature education,Consideration,"Receivables, payables and partial settlement",Feature education,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",owners and finance teams,"Receivables, payables and partial settlement: what changes when this is handled inside one connected system?",Show exactly what the feature does and the workflow it replaces. Proof point: Track what is owed separately from real cash movement and support partial settlement without false paid states.,See how it works,"Use a real INPROFIC screen/demo for Receivables, payables and partial settlement. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,credit,,Planned,,
2026-10-22,Thursday,Week 4,finance,Connected-system handoff,Feature education,Conversion support,Auditable cash and finance ledger,Feature education,Reel / short demo,Organic,"Instagram, Facebook",finance teams and owners,Auditable cash and finance ledger: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Verified money movement posts to tenant-owned accounts with compensating reversals instead of destructive edits.,See how it works,"Use a real INPROFIC screen/demo for Auditable cash and finance ledger. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,finance-ledger,,Planned,,
2026-10-23,Friday,Week 4,finance,Control / verification,Feature education,Awareness,Expenses and expense settlement,Feature education,Carousel,Organic + boost,"Instagram, LinkedIn",owners and finance teams,Expenses and expense settlement: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Record business expenses, distinguish unpaid obligations from actual settlement, and feed paid amounts into the cash ledger.",See how it works,"Use a real INPROFIC screen/demo for Expenses and expense settlement. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,expenses,,Planned,,
2026-10-24,Saturday,Week 4,commerce,Persona / use case,Feature education,Consideration,Hosted storefront and Order Now,Feature education,Static graphic,Organic,"LinkedIn, Facebook",businesses selling online without a custom commerce stack,Hosted storefront and Order Now: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Publish tenant products, show only the selected channel price (or rotate available prices in Full menu), generate shareable tenant QR codes, and take payment-first baskets without premature operational records.",See how it works,"Use a real INPROFIC screen/demo for Hosted storefront and Order Now. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,commerce-storefront,,Planned,,
2026-10-25,Sunday,Week 4,commerce,Recap / CTA,Feature education,Conversion support,Headless Commerce API,Feature education,Screen-record demo,Organic + paid,"Instagram, TikTok",businesses with custom websites or apps,Headless Commerce API: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: External websites consume authoritative catalogue, checkout, payment, delivery and tracking endpoints; catalogue discovery declares the selected-channel price display and 2-second Full menu rotation contract while external pricing never exposes the in-premise price.",See how it works,"Use a real INPROFIC screen/demo for Headless Commerce API. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,headless-api,,Planned,,
2026-10-26,Monday,Week 4,commerce,Problem / pain point,Feature education,Awareness,Paystack and Monnify payments,Feature education,Story / poll,Organic,"Instagram Stories, Facebook Stories",online-selling businesses,Paystack and Monnify payments: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Provider-backed checkout and instant transfer settle only after authoritative provider verification.,See how it works,"Use a real INPROFIC screen/demo for Paystack and Monnify payments. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,gateway-payments,,Planned,,
2026-10-27,Tuesday,Week 4,commerce,How it works,Feature education,Consideration,✨ NEW — Transfer without a payment gateway,Feature education,Founder post,Organic,"LinkedIn, Facebook",businesses that prefer direct bank transfer,✨ NEW — Transfer without a payment gateway: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Show the business bank account, require customer payment proof externally, and keep payment pending until staff verifies the actual credit.",See how it works,"Use a real INPROFIC screen/demo for Transfer without a payment gateway. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,direct-transfer,2026-09-20,Planned,,
2026-10-28,Wednesday,Week 4,commerce,Screen / workflow demo,Feature education,Conversion support,✨ NEW — In-premise POS,Feature education,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn","cashiers, stores, restaurants and walk-in operations",✨ NEW — In-premise POS: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Staff can complete counter sales with Cash, direct Transfer or supported terminal payment only when the tenant plan includes Commerce and Commerce is explicitly enabled; POS still keeps its dedicated user permission.",See how it works,"Use a real INPROFIC screen/demo for In-premise POS. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,pos,2026-09-24,Planned,,
2026-10-29,Thursday,Week 5,delivery,Connected-system handoff,Feature education,Awareness,Delivery quoting and hybrid routing,Feature education,Reel / short demo,Organic,"Instagram, Facebook",businesses delivering customer orders,Delivery quoting and hybrid routing: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Quote from validated destinations before payment and switch between in-house and configured provider routing under tenant policy.,See how it works,"Use a real INPROFIC screen/demo for Delivery quoting and hybrid routing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,delivery,,Planned,,
2026-10-30,Friday,Week 5,delivery,Control / verification,Feature education,Consideration,Mapped delivery areas and precise address validation,Feature education,Carousel,Organic + boost,"Instagram, LinkedIn",dispatch teams and online-selling businesses,Mapped delivery areas and precise address validation: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Define delivery coverage, locate typed addresses after a calm 2-second idle window, keep corrections from being overwritten by stale lookups, and fall back to a customer map pin before quoting delivery.",See how it works,"Use a real INPROFIC screen/demo for Mapped delivery areas and precise address validation. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,delivery-coverage,,Planned,,
2026-10-31,Saturday,Week 5,delivery,Persona / use case,Feature education,Conversion support,✨ NEW — Provider-neutral delivery partner adapters,Feature education,Static graphic,Organic,"LinkedIn, Facebook","businesses using in-house riders, couriers or external delivery partners",✨ NEW — Provider-neutral delivery partner adapters: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Keep INPROFIC in control of delivery pricing, routing and tracking while any courier stays manual or connects through a normalized dispatch/status adapter; optional built-in providers remain separately governed.",See how it works,"Use a real INPROFIC screen/demo for Provider-neutral delivery partner adapters. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,glovo-provider,2026-09-20,Planned,,
2026-11-01,Sunday,Week 5,delivery,Recap / CTA,Workflow proof,Awareness,"✨ NEW — Shared realtime Commerce, Inventory and Finance alert tray",Problem → workflow,Screen-record demo,Organic + paid,"Instagram, TikTok","dispatchers, managers and riders","Still solving this manually? ✨ NEW — Shared realtime Commerce, Inventory and Finance alert tray keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Commerce, payment, Delivery, Inventory and Finance attention share one movable access-aware tray without merging their underlying record state; Commerce/Delivery can use durable Web Push in the background, while Finance surfaces unpaid invoices, receivables, payables and balancing anomalies from the same finance records.",Map this to your workflow,"Use a real INPROFIC screen/demo for Shared realtime Commerce, Inventory and Finance alert tray. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,delivery-notifications,2026-09-24,Planned,,
2026-11-02,Monday,Week 5,delivery,Problem / pain point,Workflow proof,Consideration,Delivery Rider workspace,Problem → workflow,Story / poll,Organic,"Instagram Stories, Facebook Stories",in-house riders and dispatch teams,Still solving this manually? Delivery Rider workspace keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Riders see only assigned deliveries, allowed status actions and proof-of-delivery; admins control the rider alert tune/repeat policy and riders can enroll their own device for background Web Push.",Map this to your workflow,"Use a real INPROFIC screen/demo for Delivery Rider workspace. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,rider,,Planned,,
2026-11-03,Tuesday,Week 5,commerce,How it works,Workflow proof,Conversion support,Storefront customer profiles and tracking,Problem → workflow,Founder post,Organic,"LinkedIn, Facebook",repeat online customers,Still solving this manually? Storefront customer profiles and tracking keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Optional tenant-scoped customer accounts save contact details and purchase history while guest checkout remains available.",Map this to your workflow,"Use a real INPROFIC screen/demo for Storefront customer profiles and tracking. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,customer-profiles,,Planned,,
2026-11-04,Wednesday,Week 5,governance,Screen / workflow demo,Workflow proof,Awareness,Audit Workspace,Problem → workflow,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn","owners, finance teams and external auditors",Still solving this manually? Audit Workspace keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Provide plan-gated read-only cross-module evidence review with auditor queries, flags and response tracking.",Map this to your workflow,"Use a real INPROFIC screen/demo for Audit Workspace. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,audit,,Planned,,
2026-11-05,Thursday,Week 6,governance,Connected-system handoff,Workflow proof,Consideration,Role and per-user permissions,Problem → workflow,Reel / short demo,Organic,"Instagram, Facebook",growing teams,Still solving this manually? Role and per-user permissions keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Give staff only the workspaces and actions they need while business-level entitlements remain the ceiling.",Map this to your workflow,"Use a real INPROFIC screen/demo for Role and per-user permissions. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,roles,,Planned,,
2026-11-06,Friday,Week 6,experience,Control / verification,Workflow proof,Conversion support,Tenant branding and workspace appearance,Problem → workflow,Carousel,Organic + boost,"Instagram, LinkedIn",business owners and teams,Still solving this manually? Tenant branding and workspace appearance keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Business accent/background branding and light/dark workspace preferences keep each tenant recognizable without changing operational data.",Map this to your workflow,"Use a real INPROFIC screen/demo for Tenant branding and workspace appearance. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,workspace-theming,,Planned,,
2026-11-07,Saturday,Week 6,governance,Persona / use case,Workflow proof,Awareness,✨ NEW — Founder-controlled subscription plans & trial policy,Problem → workflow,Static graphic,Organic,"LinkedIn, Facebook",INPROFIC operators and plan-managed tenants,Still solving this manually? ✨ NEW — Founder-controlled subscription plans & trial policy keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Control plan pricing, module entitlements, the general free-trial duration and per-business founder trial extensions without deleting tenant history or overlapping active paid/lifetime access.",Map this to your workflow,"Use a real INPROFIC screen/demo for Founder-controlled subscription plans & trial policy. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,subscriptions,2026-09-21,Planned,,
2026-11-08,Sunday,Week 6,governance,Recap / CTA,Workflow proof,Consideration,✨ NEW — Founder-controlled third-party integration availability,Problem → workflow,Screen-record demo,Organic + paid,"Instagram, TikTok",INPROFIC platform operators and businesses using optional delivery providers,Still solving this manually? ✨ NEW — Founder-controlled third-party integration availability keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Optional provider connectors can be hidden and execution-blocked platform-wide without deleting tenant credentials or history; businesses still activate their own approved provider accounts only after configuration.",Map this to your workflow,"Use a real INPROFIC screen/demo for Founder-controlled third-party integration availability. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,founder-integration-gates,2026-09-20,Planned,,
2026-11-09,Monday,Week 6,governance,Problem / pain point,Workflow proof,Conversion support,Multiple service/business profiles under one subscription,Problem → workflow,Story / poll,Organic,"Instagram Stories, Facebook Stories",owners running more than one service line,Still solving this manually? Multiple service/business profiles under one subscription keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Provision additional tenant-isolated service profiles, carry appropriate memberships across, and switch between them without mixing records.",Map this to your workflow,"Use a real INPROFIC screen/demo for Multiple service/business profiles under one subscription. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,multi-service-profiles,,Planned,,
2026-11-10,Tuesday,Week 6,governance,How it works,Workflow proof,Awareness,✨ NEW — Plan-upgrade data continuity,Problem → workflow,Founder post,Organic,"LinkedIn, Facebook",owners evaluating plan upgrades,Still solving this manually? ✨ NEW — Plan-upgrade data continuity keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Hidden interconnected modules do not stop required back-office synchronization, so upgrades reveal already-complete records.",Map this to your workflow,"Use a real INPROFIC screen/demo for Plan-upgrade data continuity. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,entitlement-continuity,2026-09-20,Planned,,
2026-11-11,Wednesday,Week 6,governance,Screen / workflow demo,Workflow proof,Consideration,"Reports, exports and business backup",Problem → workflow,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn","owners, managers and auditors","Still solving this manually? Reports, exports and business backup keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Export operational reports and maintain a tenant backup path without flattening audit history.",Map this to your workflow,"Use a real INPROFIC screen/demo for Reports, exports and business backup. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,reports-backup,,Planned,,
2026-11-12,Thursday,Week 7,experience,Connected-system handoff,Workflow proof,Conversion support,Guided system onboarding,Problem → workflow,Reel / short demo,Organic,"Instagram, Facebook",new teams,Still solving this manually? Guided system onboarding keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: A replayable tenant-aware tour keeps the original animated guide and adds a second module-specific preview that reflects the business vertical.",Map this to your workflow,"Use a real INPROFIC screen/demo for Guided system onboarding. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,onboarding,,Planned,,
2026-11-13,Friday,Week 7,commerce,Control / verification,Workflow proof,Awareness,"✨ NEW — Surface-safe Online, POS and Distribution pricing",Problem → workflow,Carousel,Organic + boost,"Instagram, LinkedIn",businesses selling both in-premise and online,"Still solving this manually? ✨ NEW — Surface-safe Online, POS and Distribution pricing keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Physical Store/direct pricing stays inside the staff POS, while hosted/headless commerce exposes Online plus Distribution/Bulk and INPROFIC enforces the chosen channel and minimum quantity server-side.",Map this to your workflow,"Use a real INPROFIC screen/demo for Surface-safe Online, POS and Distribution pricing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,commerce-channel-boundary,2026-09-20,Planned,,
2026-11-14,Saturday,Week 7,commerce,Persona / use case,Workflow proof,Consideration,"✨ NEW — Standard portions, composed products and Bulk Packs",Problem → workflow,Static graphic,Organic,"LinkedIn, Facebook",restaurants and production businesses selling in customer-friendly portions or bulk packs,"Still solving this manually? ✨ NEW — Standard portions, composed products and Bulk Packs keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Keep production in base units such as scoops/pieces/ml while customers buy plates, servings, bowls, cartons or other packs; show customer-safe package contents and preserve private yield conversions.",Map this to your workflow,"Use a real INPROFIC screen/demo for Standard portions, composed products and Bulk Packs. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,portion-bulk-pack-composition,2026-09-20,Planned,,
2026-11-15,Sunday,Week 7,governance,Recap / CTA,Workflow proof,Conversion support,✨ NEW — Founder product and lead analytics,Problem → workflow,Screen-record demo,Organic + paid,"Instagram, TikTok",INPROFIC founders and platform operators,Still solving this manually? ✨ NEW — Founder product and lead analytics keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Track first-party signup leads, completed registrations, logins, subscription milestones and throttled module usage in Founder Console, with retained deleted-state and permanent-removal controls for signup mailing-list entries, without recording passwords, payment secrets or arbitrary clickstreams.",Map this to your workflow,"Use a real INPROFIC screen/demo for Founder product and lead analytics. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,founder-product-analytics,2026-09-24,Planned,,
2026-11-16,Monday,Week 7,experience,Problem / pain point,Workflow proof,Awareness,"✨ NEW — Animated, consistent form validation across INPROFIC",Problem → workflow,Story / poll,Organic,"Instagram Stories, Facebook Stories",staff and hosted-storefront customers,"Still solving this manually? ✨ NEW — Animated, consistent form validation across INPROFIC keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: HTML5 and Django validation share animated field states, contextual SVG affordances, accessible feedback and consistent toggle switches; dynamic rows inherit the same behavior.",Map this to your workflow,"Use a real INPROFIC screen/demo for Animated, consistent form validation across INPROFIC. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,form-experience-v2,2026-09-20,Planned,,
2026-11-17,Tuesday,Week 7,commerce,How it works,Workflow proof,Consideration,✨ NEW — Channel-aware plain and add-on product options,Problem → workflow,Founder post,Organic,"LinkedIn, Facebook",restaurants and production businesses selling composed products plus extras,Still solving this manually? ✨ NEW — Channel-aware plain and add-on product options keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Offer Extra Jollof, Single Chicken, bottles, pieces or other plain portions from the same Finished Good stock and recipe with independent Physical Store, Online and Bulk/Distribution availability and pricing.",Map this to your workflow,"Use a real INPROFIC screen/demo for Channel-aware plain and add-on product options. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,individual-sale-options,2026-09-20,Planned,,
